expl,top_ngrams_module_correct,question,subject,module_num,voxel_num
personal or interactions interactions,"['They argued and then he realized his mistake', 'After their conversation, she decided to change her career', 'He confessed his love and she felt a surge of joy', 'The debate made him rethink his beliefs', 'Their friendship transformed over the years']",Does the sentence describe a personal or social interaction that leads to a change or revelation?,UTS02,qa,qa
sensory experiences,"['The fragrance of the flowers filled the air', 'The music was loud and exhilarating', 'The texture of the fabric was soft', 'The taste of the chocolate was rich and creamy', 'The sight of the ocean was breathtaking']",Does the sentence describe a sensory experience?,UTS02,qa,qa
opinions or judgments,"['He was the best player on the team', 'That was a terrible idea', 'She is the kindest person I know', 'It was a spectacular event', 'He acted foolishly', 'She was a brilliant actress']",Does the sentence express the narrator's opinion or judgment about an event or character?,UTS02,qa,qa
physical actions,"['She ran across the street', 'He picked up the book', 'They jumped into the pool', 'She writes a letter', 'He is eating an apple', 'She danced in the rain']",Does the sentence describe a physical action?,UTS02,qa,qa
abstract descriptions,"['Freedom is priceless', 'Love conquers all', 'The concept of justice', 'She felt an overwhelming sense of peace', 'The idea of infinity', 'He believed in the power of dreams']",Is the sentence abstract rather than concrete?,UTS02,qa,qa
planning or organizing,"['They planned the event meticulously', 'She organized her schedule for the week', 'They arranged the chairs in a circle', 'He mapped out the trip in detail', 'They coordinated their efforts to complete the project']",Does the input involve planning or organizing?,UTS02,qa,qa
specific objects or items,"['The red ball', 'A shiny new car', 'The ancient artifact', 'Her favorite book', 'The broken vase', 'golden ring']",Does the sentence involve the mention of a specific object or item?,UTS02,qa,qa
proper nouns,"['The Eiffel Tower', 'The Beatles', 'Google', 'California', 'Jupiter']",Does the sentence contain a proper noun?,UTS02,qa,qa
technical or specialized terminology,"['The CPU processes data quickly', 'The patient exhibited symptoms of anemia', 'The stock market fluctuates daily', 'The curriculum includes advanced calculus', 'The software uses a complex algorithm']",Does the sentence include technical or specialized terminology?,UTS02,qa,qa
personal reflections or thoughts,"['I wonder if things would have been different', 'I did the right thing', 'I wonder what will happen next', 'I remember when I was a child', 'I believe that the world is a good place', 'I feel that I am a good person', 'she knew she was wrong', 'I dream of a better world', 'She really was silly']",Does the sentence describe a personal reflection or thought?,UTS02,qa,qa
cultural references,"['Like Romeo and Juliet', 'An Achilles’ heel', 'He was a real Scrooge', 'The Mona Lisa', 'A Herculean task', 'Taylor Swift music']",Does the sentence contain a cultural reference?,UTS02,qa,qa
numbers,"['Three cats', '50% discount', 'Seven miles', '152', 'Fourteen days']",Does the input contain a number?,UTS02,qa,qa
dialogue,"['""Hello, how are you?"" she asked', '""I think we should leave,"" he said', '""What are you doing here?""', '""I love this song,"" she exclaimed', '""Can you help me with this?""', '""Nice to see you""']",Does the sentence include dialogue?,UTS02,qa,qa
industry or profession,"['The tech industry', 'Medical field', 'Financial sector', 'Educational system', 'Construction business']",Is the input related to a specific industry or profession?,UTS02,qa,qa
negations,"['not', 'She did not like the movie', 'He cannot attend the meeting', 'They never spoke again', 'I don’t think that’s true', 'She isn’t coming to the party']",Does the sentence contain a negation?,UTS02,qa,qa
personal values or beliefs,"['She believed in honesty above all', 'He valued loyalty in his friends', 'They upheld the tradition of their ancestors', 'She thought kindness was the greatest virtue', 'He held strong religious beliefs']",Does the sentence involve an expression of personal values or beliefs?,UTS02,qa,qa
relationships between people,"['She was his best friend', 'They were colleagues for ten years', 'He is her brother', 'They are rivals', 'She is my mentor', 'He is her confidant']",Does the sentence describe a relationship between people?,UTS02,qa,qa
